Sponsor EntityID,Sponsor CTDS,Sponsor Name,Site EntityID,Site CTDS,Site Name,Percent Eligible for Meals,Total Enrolled as of Last Day in October
7521,072745000,A & A COTTAGES INC,7522,072745001,Vista Linda Home,>80%,10
7320,072122000,A New Leaf,80290,072122007,Alice Peterson Residence,>80%,12
7320,072122000,A New Leaf,80289,072122006,Larry Simmons Residence,>=90%,39
90199,108734000,"Academy Del Sol, Inc.",90200,108734001,Academy Del Sol,65-69%,59
4296,078604000,"Academy Of Excellence, Inc.",5461,078604101,Academy Of Excellence,>=98%,104
79961,108713000,"Academy of Mathematics and Science, Inc.",79094,108713101,Academy of Math and Science,67%,322
4325,078701000,Acclaim Charter School,5496,078701101,ACCLAIM Academy,91%,412
79437,138760000,Acorn Montessori Charter School,79438,138760101,Acorn Montessori Charter School,74%,288
79437,138760000,Acorn Montessori Charter School,88180,138760102,"Acorn Montessori Charter School, Inc. - West",50-54%,174
80381,219101001,Adobe Mountain School,8327,211001001,Adobe Mountain School,>=98%,253
78768,112751000,Against Abuse,78771,112751003,A Casa de Paz,>=90%,25
78768,112751000,Against Abuse,78769,112751001,La Casita de Paz,>80%,16
4289,070516000,Agua Fria Union High School District,5454,070516201,Agua Fria High School,50%,1661
4289,070516000,Agua Fria Union High School District,79799,070516203,Desert Edge High School,43%,1425
4289,070516000,Agua Fria Union High School District,78926,070516202,Millennium High School,23%,2066
4289,070516000,Agua Fria Union High School District,87903,070516204,Verrado High School,25%,1380
4249,070363000,Aguila Elementary District,5187,070363101,Aguila Elementary School,90-94%,171
85875,078501000,"Ahwatukee Foothills Prep, Inc.",85881,078501001,Mosaica Preparatory Academy of Chandler,43%,336
4409,100215000,Ajo Unified District,5831,100215001,Ajo Elementary School,68%,556
5978,118705000,"Akimel O Otham Pee Posh Charter School, Inc.",10797,118705001,Akimel O'Otham Pee Posh (K-2),80%,304
4280,070468000,Alhambra Elementary District,90165,078554001,Alhambra College Preparatory High School,85-89%,139
4280,070468000,Alhambra Elementary District,5381,070468101,Alhambra Traditional School,43%,737
4280,070468000,Alhambra Elementary District,5382,070468102,Andalucia Middle School,97%,1160
