Sponsor EntityID,Sponsor CTDS,Sponsor Name,Site EntityID,Site CTDS,Site Name,Percent Eligible for Meals,Total Enrolled as of Last Day in October
7320,072122000,A New Leaf,80290,072122007,Alice Peterson Residence,>80%,11,,
7320,072122000,A New Leaf,7322,072122002,D Mitchell RES,*,*,,
7320,072122000,A New Leaf,80289,072122006,Larry Simmons Residence,>80%,15,,
4296,078604000,"Academy Of Excellence, Inc.",5461,078604101,Academy Of Excellence,>=98%,136,,
4296,078604000,"Academy Of Excellence, Inc.",90843,078604102,Fay Landrum Academy,95-97%,119,,
79961,108713000,"Academy of Mathematics and Science, Inc.",79094,108713101,Academy of Math and Science,65%,334,,
4325,078701000,Acclaim Charter School,5496,078701101,ACCLAIM Academy,97%,452,,
79437,138760000,Acorn Montessori Charter School,79438,138760101,Acorn Montessori Charter School,73%,256,,
79437,138760000,Acorn Montessori Charter School,88180,138760102,"Acorn Montessori Charter School, Inc. - West",55-59%,186,,
80381,219101001,Adobe Mountain School,8327,211001001,Adobe Mountain School,>=99%,446,,
78768,112751000,Against Abuse,78771,112751003,A Casa de Paz,*,*,,
78768,112751000,Against Abuse,78769,112751001,La Casita de Paz,>80%,16,,
4289,070516000,Agua Fria Union High School District,5454,070516201,Agua Fria High School,62%,1605,,
4289,070516000,Agua Fria Union High School District,79799,070516203,Desert Edge High School,51%,1507,,
4289,070516000,Agua Fria Union High School District,78926,070516202,Millennium High School,26%,2180,,
4289,070516000,Agua Fria Union High School District,87903,070516204,Verrado High School,28%,1540,,
4249,070363000,Aguila Elementary District,5187,070363101,Aguila Elementary School,90-94%,162,,
79053,078793000,AIBT Non-Profit Charter High School - Phoenix,79123,078793201,RCB Medical Arts Academy,64%,380,,
4409,100215000,Ajo Unified District,5831,100215001,Ajo Elementary School,83%,455,,
5978,118705000,"Akimel O Otham Pee Posh Charter School, Inc.",10797,118705001,Akimel O'Otham Pee Posh (K-2),78%,448,,
4280,070468000,Alhambra Elementary District,5381,070468101,Alhambra Traditional School,47%,752,,
4280,070468000,Alhambra Elementary District,5382,070468102,Andalucia Middle School,96%,1194,,
4280,070468000,Alhambra Elementary District,5384,070468104,Barcelona Middle School,94%,750,,
4280,070468000,Alhambra Elementary District,6030,070468105,Carol G. Peck Elementary School,95%,676,,
4280,070468000,Alhambra Elementary District,5385,070468106,Catalina Ventura School,91%,1145,,
4280,070468000,Alhambra Elementary District,5386,070468107,Cordova Middle School,96%,1235,,
4280,070468000,Alhambra Elementary District,6031,070468108,Cordova Primary School,98%,435,,
4280,070468000,Alhambra Elementary District,5387,070468109,Granada East School,97%,1225,,
4280,070468000,Alhambra Elementary District,5388,070468110,Granada Primary School,98%,1102,,
4280,070468000,Alhambra Elementary District,5383,070468103,James W. Rice Primary School,95%,1071,,
4280,070468000,Alhambra Elementary District,5389,070468111,Montebello School,96%,1381,,
4280,070468000,Alhambra Elementary District,5391,070468113,R E Simpson School,97%,970,,
4280,070468000,Alhambra Elementary District,5390,070468112,Sevilla Primary School,96%,1004,,
4280,070468000,Alhambra Elementary District,79203,070468115,Sevilla West School,92%,1109,,
4280,070468000,Alhambra Elementary District,5392,070468114,Westwood Primary School,97%,1133,,
79969,078967000,All Aboard Charter School,79970,078967101,All Aboard Charter School,85-89%,110,,
86569,072769000,"All My Children, Inc.",86572,072769001,All My Children #1 a Satellite Home,>80%,10,,
86569,072769000,"All My Children, Inc.",86574,072769002,All My Children #2 a Satellite Home,>80%,10,,
86569,072769000,"All My Children, Inc.",86575,072769003,All My Children #3 a Satellite Home,>80%,10,,
86569,072769000,"All My Children, Inc.",86576,072769004,All My Children #4 a Satellite Home,>80%,10,,
86569,072769000,"All My Children, Inc.",86577,072769005,All My Children #5 a Satellite Home,>80%,10,,
81031,108716000,Allsport Academy,79681,108716001,Allsport Academy,90-94%,79,,
4418,100351000,Altar Valley Elementary District,5859,100351103,Altar Valley Middle School,80%,349,,
4418,100351000,Altar Valley Elementary District,84336,100351100,Robles Elementary School,84%,421,,
79215,078989000,American Basic Schools LLC,78788,078989101,Burke Basic School,90%,874,,
80995,108794000,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,108794201,Alta Vista High School,89%,498,,
79883,118703000,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,118703001,Apache Trail High School,70-74%,175,,
79874,078950000,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,078950001,Crestview College Preparatory High School,82%,291,,
79872,078947000,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,078947001,Desert Hills High School,43%,505,,
79873,078948000,American Charter Schools Foundation d.b.a. Estrella High School,78900,078948001,Estrella High School,82%,411,,
79875,078951000,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,078951001,Peoria Accelerated High School,71%,519,,
80989,078983000,American Charter Schools Foundation d.b.a. South Pointe High School,80990,078983201,South Pointe High School,84%,548,,
88334,078517000,American Charter Schools Foundation d.b.a. South Ridge High School,88335,078517201,South Ridge High School,78%,492,,
79877,078953000,American Charter Schools Foundation d.b.a. Sun Valley High School,6347,078953001,Sun Valley High School,79%,590,,
79879,078956000,American Charter Schools Foundation d.b.a. West Phoenix High School,6348,078956001,West Phoenix High School,94%,622,,
9655,092001000,American Indian Christian Mission,80313,092001101,American Indian Christian Mission,80-89%,22,,
4406,100210000,Amphitheater Unified District,6055,100210281,Amphitheater High School,80%,1261,,
4406,100210000,Amphitheater Unified District,5805,100210166,Amphitheater Middle School,95%,645,,
4406,100210000,Amphitheater Unified District,5808,100210282,Canyon Del Oro High School,22%,1642,,
4406,100210000,Amphitheater Unified District,5802,100210118,Copper Creek Elementary School,20%,638,,
4406,100210000,Amphitheater Unified District,5799,100210115,Coronado K-8 School,45%,1028,,
4406,100210000,Amphitheater Unified District,5796,100210110,E C Nash School,98%,524,,
4406,100210000,Amphitheater Unified District,5794,100210108,Frances Owen Holaway Elementary School,89%,382,,
4406,100210000,Amphitheater Unified District,5795,100210109,Helen Keeling Elementary School,97%,472,,
4406,100210000,Amphitheater Unified District,79378,100210280,Ironwood Ridge High School,14%,1939,,
4406,100210000,Amphitheater Unified District,5797,100210111,L M Prince School,94%,625,,
4406,100210000,Amphitheater Unified District,5804,100210165,La Cima Middle School,78%,611,,
4406,100210000,Amphitheater Unified District,5806,100210167,Lawrence W Cross Middle School,29%,808,,
4406,100210000,Amphitheater Unified District,5798,100210112,Lulu Walker School,66%,563,,
4406,100210000,Amphitheater Unified District,5792,100210106,Marion Donaldson Elementary School,48%,379,,
4406,100210000,Amphitheater Unified District,5800,100210116,Mesa Verde Elementary School,36%,389,,
4406,100210000,Amphitheater Unified District,79282,100210114,Painted Sky Elementary School,12%,715,,
4406,100210000,Amphitheater Unified District,5807,100210168,Richard B Wilson Jr School,14%,1122,,
4406,100210000,Amphitheater Unified District,5803,100210125,Rillito Center,50-54%,76,,
4406,100210000,Amphitheater Unified District,5801,100210117,Rio Vista Elementary School,89%,526,,
4406,100210000,Amphitheater Unified District,5793,100210107,Winifred Harelson Elementary School,23%,514,,
4506,140550000,Antelope Union High School District,6188,140550201,Antelope Union High School,76%,296,,
4443,110243000,Apache Junction Unified District,5925,110243201,Apache Junction High School,42%,1492,,
4443,110243000,Apache Junction Unified District,5923,110243151,Cactus Canyon Junior High,58%,759,,
4443,110243000,Apache Junction Unified District,5922,110243104,Desert Vista Elementary School,62%,648,,
4443,110243000,Apache Junction Unified District,5920,110243102,Four Peaks Elementary School,75%,646,,
4443,110243000,Apache Junction Unified District,80091,110243153,Mountain Shadows Education Center - Closed,80-89%,25,,
4443,110243000,Apache Junction Unified District,79631,110243105,Peralta Trail Elementary School,47%,586,,
4443,110243000,Apache Junction Unified District,5919,110243101,Superstition Mountain Elementary School,68%,724,,
79426,108785000,Aprender Tucson,79432,108785001,Southside Community School,96%,289,,
89482,108733000,"Arizona Academy of Leadership, Inc.",89483,108733101,Arizona Academy of Leadership,85%,217,,
89482,108733000,"Arizona Academy of Leadership, Inc.",89854,108733102,Arizona Academy of Leadership - Central,>80%,11,,
6378,078665000,"Arizona Academy of Science And Technology, Inc.",10755,078665001,Arizona Academy of Science and Technology,65-69%,126,,
79947,108709000,Arizona Community Development Corporation,79950,108709101,La Paloma Academy,70%,712,,
79947,108709000,Arizona Community Development Corporation,81187,108709103,La Paloma Academy (Lakeside),65%,881,,
85749,078991000,Arizona Montessori Charter School at Anthem,85750,078991101,AMCS at Anthem dba Caurus Academy,30-34%,166,,
80077,014005000,Arizona Navajo Central Education Line Office,87926,014005005,Lukachukai Community School,92%,360,,
80126,104001000,Arizona South Education - Phoenix,80127,104001001,San Simon School,77%,218,,
80126,104001000,Arizona South Education - Phoenix,80454,104001002,Santa Rosa Boarding/Day School,87%,205,,
6393,001202000,Arizona State School for the Deaf and Blind,80462,001202058,ASDB/Child Nutrition Program - Closed,68%,231,,
