Sponsor Entity ID,Sponsor CTDS,Sponsor Name,Site EntityID,Site CTDS,Site Name,Percent Eligible for Meals,Total Enrolled as of Last Day in October
7320,072122000,A New Leaf,80290,072122007,Alice Peterson Residence,>80%,12
7320,072122000,A New Leaf,7322,072122002,D Mitchell RES,*,*
7320,072122000,A New Leaf,80289,072122006,Larry Simmons Residence,>80%,11
4296,078604000,"Academy Of Excellence, Inc.",5461,078604101,Academy Of Excellence,>=98%,108
90878,078242000,"Academy of Mathematics and Science South, Inc.",92197,078242001,Academy of Mathematics and Science South,80-84%,145
79961,108713000,"Academy of Mathematics and Science, Inc.",79094,108713101,Academy of Math and Science,72%,379
4325,078701000,Acclaim Charter School,5496,078701101,ACCLAIM Academy,93%,431
79437,138760000,Acorn Montessori Charter School,79438,138760101,Acorn Montessori Charter School,74%,280
79437,138760000,Acorn Montessori Charter School,88180,138760102,"Acorn Montessori Charter School, Inc. - West",63%,212
80381,219101001,Adobe Mountain School,8327,211001001,Adobe Mountain School,>=99%,398
78768,112751000,Against Abuse,78771,112751003,A Casa de Paz,>=90%,35
78768,112751000,Against Abuse,78769,112751001,La Casita de Paz,>80%,16
4289,070516000,Agua Fria Union High School District,5454,070516201,Agua Fria High School,65%,1692
4289,070516000,Agua Fria Union High School District,79799,070516203,Desert Edge High School,50%,1632
4289,070516000,Agua Fria Union High School District,78926,070516202,Millennium High School,27%,2191
4289,070516000,Agua Fria Union High School District,87903,070516204,Verrado High School,28%,1731
4249,070363000,Aguila Elementary District,5187,070363101,Aguila Elementary School,90-94%,183
85875,078501000,"Ahwatukee Foothills Prep, Inc.",85881,078501001,Mosaica Preparatory Academy of Chandler,70-74%,184
4409,100215000,Ajo Unified District,5831,100215001,Ajo Elementary School,73%,443
4280,070468000,Alhambra Elementary District,5381,070468101,Alhambra Traditional School,50%,719
4280,070468000,Alhambra Elementary District,5382,070468102,Andalucia Middle School,97%,1149
4280,070468000,Alhambra Elementary District,5384,070468104,Barcelona Middle School,95%,724
4280,070468000,Alhambra Elementary District,6030,070468105,Carol G. Peck Elementary School,98%,661
4280,070468000,Alhambra Elementary District,5385,070468106,Catalina Ventura School,91%,1198
4280,070468000,Alhambra Elementary District,5386,070468107,Cordova Middle School,97%,959
4280,070468000,Alhambra Elementary District,6031,070468108,Cordova Primary School,98%,562
4280,070468000,Alhambra Elementary District,5387,070468109,Granada East School,96%,1192
4280,070468000,Alhambra Elementary District,5388,070468110,Granada Primary School,>=99%,1095
4280,070468000,Alhambra Elementary District,5383,070468103,James W. Rice Primary School,92%,1322
4280,070468000,Alhambra Elementary District,5389,070468111,Montebello School,97%,1434
4280,070468000,Alhambra Elementary District,5391,070468113,R E Simpson School,97%,884
4280,070468000,Alhambra Elementary District,5390,070468112,Sevilla Primary School,95%,1085
4280,070468000,Alhambra Elementary District,79203,070468115,Sevilla West School,95%,1206
4280,070468000,Alhambra Elementary District,5392,070468114,Westwood Primary School,98%,1090
79969,078967000,All Aboard Charter School,79970,078967101,All Aboard Charter School,80-84%,114
86569,072769000,"All My Children, Inc.",86572,072769001,All My Children #1 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86574,072769002,All My Children #2 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86575,072769003,All My Children #3 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86576,072769004,All My Children #4 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86577,072769005,All My Children #5 a Satellite Home,>80%,10
81031,108716000,Allsport Academy,79681,108716001,Allsport Academy,>=95%,53
4418,100351000,Altar Valley Elementary District,5859,100351103,Altar Valley Middle School,80%,350
4418,100351000,Altar Valley Elementary District,84336,100351100,Robles Elementary School,88%,440
79215,078989000,American Basic Schools LLC,78788,078989101,Burke Basic School,95%,884
80995,108794000,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,108794201,Alta Vista High School,84%,472
79883,118703000,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,118703001,Apache Trail High School,73%,209
79874,078950000,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,078950001,Crestview College Preparatory High School,87%,263
79872,078947000,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,078947001,Desert Hills High School,48%,334
79873,078948000,American Charter Schools Foundation d.b.a. Estrella High School,78900,078948001,Estrella High School,86%,381
79875,078951000,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,078951001,Peoria Accelerated High School,66%,579
80989,078983000,American Charter Schools Foundation d.b.a. South Pointe High School,80990,078983201,South Pointe High School,90%,541
88334,078517000,American Charter Schools Foundation d.b.a. South Ridge High School,88335,078517201,South Ridge High School,75%,568
79877,078953000,American Charter Schools Foundation d.b.a. Sun Valley High School,6347,078953001,Sun Valley High School,78%,717
79879,078956000,American Charter Schools Foundation d.b.a. West Phoenix High School,6348,078956001,West Phoenix High School,94%,597
