"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft*)"|"Map**"|"BGN Date"|"Entry Date"|
"Alpine Elementary School"|"38997"|"School"|"Apache"|"AZ"|"334938N"|"1090837W"|"8051"|"Alpine"|""|"27-JUN-1984"
"Blue Gap School"|"1702"|"School"|"Apache"|"AZ"|"361012N"|"1095648W"|"6493"|"Blue Gap"|""|"08-FEB-1980"
"Canyon De Chelly Elementary School"|"2543608"|"School"|"Apache"|"AZ"|"360910N"|"1093502W"|"5505"|"Chinle"|""|"27-APR-2009"
"Canyon del Muerta School"|"21557"|"School"|"Apache"|"AZ"|"361120N"|"1092612W"|"6489"|"Del Muerto"|""|"27-JUN-1984"
"Canyon del Muerto School"|"2438"|"School"|"Apache"|"AZ"|"361120N"|"1092611W"|"6489"|"Del Muerto"|""|"08-FEB-1980"
"Carrizo Mission School"|"2483"|"School"|"Apache"|"AZ"|"365413N"|"1090616W"|"5256"|"Teec Nos Pos"|""|"08-FEB-1980"
"Chinie Junior High School"|"21604"|"School"|"Apache"|"AZ"|"362843N"|"1090655W"|"8215"|"Roof Butte"|""|"27-JUN-1984"
"Chinle Adventist School"|"2543596"|"School"|"Apache"|"AZ"|"360929N"|"1093354W"|"5502"|"Chinle"|""|"27-APR-2009"
"Chinle Elementary Boarding School"|"21572"|"School"|"Apache"|"AZ"|"360903N"|"1093330W"|"5512"|"Chinle"|""|"27-JUN-1984"
"Chinle Elementary School"|"21576"|"School"|"Apache"|"AZ"|"360857N"|"1093309W"|"5518"|"Chinle"|""|"27-JUN-1984"
"Chinle High School"|"21574"|"School"|"Apache"|"AZ"|"360929N"|"1093454W"|"5499"|"Chinle"|""|"27-JUN-1984"
"Chinle High School"|"21575"|"School"|"Apache"|"AZ"|"360931N"|"1093445W"|"5495"|"Chinle"|""|"27-JUN-1984"
"Chinle Junior High School"|"2543509"|"School"|"Apache"|"AZ"|"360856N"|"1093510W"|"5512"|"Chinle"|""|"27-APR-2009"
"College of Ganado"|"3120"|"School"|"Apache"|"AZ"|"354243N"|"1093243W"|"6378"|"Ganado"|""|"08-FEB-1980"
"Concho Elementary School"|"2543664"|"School"|"Apache"|"AZ"|"342521N"|"1093826W"|"6339"|"Concho Lake"|""|"27-APR-2009"
"Coronado Elementary School"|"3284"|"School"|"Apache"|"AZ"|"343028N"|"1092137W"|"5679"|"Saint Johns North"|""|"08-FEB-1980"
"Cottonwood Day School"|"21586"|"School"|"Apache"|"AZ"|"360424N"|"1095328W"|"6060"|"Toadindaaska Mesa"|""|"27-JUN-1984"
"Cove School"|"3431"|"School"|"Apache"|"AZ"|"363332N"|"1091305W"|"6466"|"Cove"|""|"08-FEB-1980"
"Dennehotso Boarding School"|"2543560"|"School"|"Apache"|"AZ"|"365044N"|"1095045W"|"5020"|"Dennehotso"|""|"27-APR-2009"
"Dine College"|"21715"|"School"|"Apache"|"AZ"|"361737N"|"1091259W"|"7077"|"Tsaile"|""|"27-JUN-1984"
"Dine College Tsaile Campus Guy Gorman Sr Classroom Building"|"2672082"|"School"|"Apache"|"AZ"|"361733N"|"1091256W"|"7083"|"Tsaile"|""|"13-JUL-2011"
"Dine College Tsaile Campus Gymnasium"|"2672083"|"School"|"Apache"|"AZ"|"361742N"|"1091258W"|"7077"|"Tsaile"|""|"13-JUL-2011"
"Dine College Tsaile Campus Ned Hatathli Center"|"2672084"|"School"|"Apache"|"AZ"|"361736N"|"1091249W"|"7093"|"Tsaile"|""|"13-JUL-2011"
"Dine College Tsaile Campus Student Services"|"2672085"|"School"|"Apache"|"AZ"|"361739N"|"1091256W"|"7083"|"Tsaile"|""|"13-JUL-2011"
"Dine College Tsaile Campus Student Union"|"2672086"|"School"|"Apache"|"AZ"|"361740N"|"1091257W"|"7080"|"Tsaile"|""|"13-JUL-2011"
"Eagar Elementary School"|"39038"|"School"|"Apache"|"AZ"|"340628N"|"1091732W"|"7109"|"Eagar"|""|"27-JUN-1984"
"Fort Defiance Elementary School"|"21628"|"School"|"Apache"|"AZ"|"354424N"|"1090406W"|"6801"|"Window Rock"|""|"27-JUN-1984"
"Fort Defiance Junior High School"|"21629"|"School"|"Apache"|"AZ"|"354422N"|"1090359W"|"6795"|"Window Rock"|""|"27-JUN-1984"
"Ganado High School"|"21637"|"School"|"Apache"|"AZ"|"354506N"|"1093751W"|"6342"|"Ganado Mesa SW"|""|"27-JUN-1984"
"Ganado Intermediate School"|"2543647"|"School"|"Apache"|"AZ"|"354245N"|"1093209W"|"6417"|"Ganado"|""|"27-APR-2009"
"Ganado Middle School"|"21638"|"School"|"Apache"|"AZ"|"354238N"|"1093217W"|"6417"|"Ganado"|""|"27-JUN-1984"
"Ganado Primary School"|"21636"|"School"|"Apache"|"AZ"|"354243N"|"1093158W"|"6443"|"Ganado"|""|"27-JUN-1984"
"Headstart School"|"21653"|"School"|"Apache"|"AZ"|"363414N"|"1091247W"|"6322"|"Cove"|""|"27-JUN-1984"
"Hilltop Christian School"|"2543704"|"School"|"Apache"|"AZ"|"353948N"|"1090303W"|"6765"|"Window Rock"|""|"27-APR-2009"
"Hunters Point Boarding School"|"6140"|"School"|"Apache"|"AZ"|"353536N"|"1090614W"|"6696"|"Hunters Point"|""|"08-FEB-1980"
"Immanuel Mission School"|"2543521"|"School"|"Apache"|"AZ"|"364806N"|"1092354W"|"5466"|"Walker Butte"|""|"27-APR-2009"
"Kin Dah Lichi'i Olta' Charter School"|"6712"|"School"|"Apache"|"AZ"|"354436N"|"1092624W"|"6617"|"Kinlichee"|""|"08-FEB-1980"
"Lukachukai Boarding School"|"21685"|"School"|"Apache"|"AZ"|"362501N"|"1091350W"|"6529"|"Lukachukai"|""|"27-JUN-1984"
"Many Farms Boarding School"|"7660"|"School"|"Apache"|"AZ"|"362158N"|"1093742W"|"5312"|"Many Farms SW"|""|"08-FEB-1980"
"Many Farms Child Development Center"|"21690"|"School"|"Apache"|"AZ"|"362115N"|"1093719W"|"5315"|"Many Farms"|""|"27-JUN-1984"
"Many Farms Elementary School"|"21692"|"School"|"Apache"|"AZ"|"362157N"|"1093741W"|"5312"|"Many Farms SW"|""|"27-JUN-1984"
"Many Farms High School"|"21693"|"School"|"Apache"|"AZ"|"362222N"|"1093731W"|"5302"|"Many Farms SW"|""|"27-JUN-1984"
"Many Farms Public School"|"21695"|"School"|"Apache"|"AZ"|"362209N"|"1093733W"|"5305"|"Many Farms SW"|""|"27-JUN-1984"
"McNary Annex School"|"39080"|"School"|"Apache"|"AZ"|"340435N"|"1095117W"|"7319"|"McNary"|""|"27-JUN-1984"
"McNary Elementary School"|"39081"|"School"|"Apache"|"AZ"|"340430N"|"1095124W"|"7313"|"McNary"|""|"27-JUN-1984"
"McNary High School"|"39082"|"School"|"Apache"|"AZ"|"340428N"|"1095120W"|"7313"|"McNary"|""|"27-JUN-1984"
"Mesa View Elementary School"|"2543609"|"School"|"Apache"|"AZ"|"360906N"|"1093512W"|"5508"|"Chinle"|""|"27-APR-2009"
"Navajo Community College"|"21716"|"School"|"Apache"|"AZ"|"362216N"|"1093734W"|"5305"|"Many Farms SW"|""|"27-JUN-1984"
"Navajo Lutheran Mission School"|"2543520"|"School"|"Apache"|"AZ"|"364303N"|"1093737W"|"5003"|"Rock Point"|""|"27-APR-2009"
"Nazlini Boarding School"|"2543554"|"School"|"Apache"|"AZ"|"355346N"|"1092707W"|"6211"|"Nazlini"|""|"27-APR-2009"
"Nazlini Charter School"|"2543679"|"School"|"Apache"|"AZ"|"355346N"|"1092707W"|"6211"|"Nazlini"|""|"27-APR-2009"
"New Visions Academy"|"2543553"|"School"|"Apache"|"AZ"|"343018N"|"1092153W"|"5699"|"Saint Johns North"|""|"27-APR-2009"
"Northland Pioneer College Saint Johns Center"|"2672185"|"School"|"Apache"|"AZ"|"343021N"|"1092208W"|"5695"|"Saint Johns North"|""|"13-JUL-2011"
